Time,Depth,Resistivity,dBdt
1e-05,-996.8962827700731,500.0,-5.608862970799765e-10
1e-05,-770.4971405923638,500.0,-5.608862970799765e-10
1e-05,-596.3439543018183,500.0,-5.608862970799765e-10
1e-05,-462.3799648475525,500.0,-5.608862970799765e-10
1e-05,-359.330742190425,500.0,-5.608862970799765e-10
1e-05,-280.06210937724995,500.0,-5.608862970799765e-10
1e-05,-219.08623798249994,500.0,-5.608862970799765e-10
1e-05,-172.1817215249999,500.0,-5.608862970799765e-10
1e-05,-136.1013242499999,500.0,-5.608862970799765e-10
1e-05,-108.34717249999989,500.0,-5.608862970799765e-10
1e-05,-86.99782499999988,1000.0,-5.608862970799765e-10
1e-05,-70.57524999999987,1000.0,-5.608862970799765e-10
1e-05,-57.942499999999875,1000.0,-5.608862970799765e-10
1e-05,-48.22499999999987,1000.0,-5.608862970799765e-10
1e-05,-40.74999999999987,1000.0,-5.608862970799765e-10
1e-05,-34.99999999999987,1000.0,-5.608862970799765e-10
1e-05,-29.999999999999872,1000.0,-5.608862970799765e-10
1e-05,-24.999999999999872,1000.0,-5.608862970799765e-10
1e-05,-19.999999999999872,1000.0,-5.608862970799765e-10
1e-05,-14.999999999999872,1000.0,-5.608862970799765e-10
1e-05,-9.999999999999872,1000.0,-5.608862970799765e-10
1e-05,-4.999999999999872,1000.0,-5.608862970799765e-10
1.165914401179831e-05,-996.8962827700731,500.0,-4.0560899998373804e-10
1.165914401179831e-05,-770.4971405923638,500.0,-4.0560899998373804e-10
1.165914401179831e-05,-596.3439543018183,500.0,-4.0560899998373804e-10
1.165914401179831e-05,-462.3799648475525,500.0,-4.0560899998373804e-10
1.165914401179831e-05,-359.330742190425,500.0,-4.0560899998373804e-10
1.165914401179831e-05,-280.06210937724995,500.0,-4.0560899998373804e-10
1.165914401179831e-05,-219.08623798249994,500.0,-4.0560899998373804e-10
1.165914401179831e-05,-172.1817215249999,500.0,-4.0560899998373804e-10
1.165914401179831e-05,-136.1013242499999,500.0,-4.0560899998373804e-10
1.165914401179831e-05,-108.34717249999989,500.0,-4.0560899998373804e-10
1.165914401179831e-05,-86.99782499999988,1000.0,-4.0560899998373804e-10
1.165914401179831e-05,-70.57524999999987,1000.0,-4.0560899998373804e-10
1.165914401179831e-05,-57.942499999999875,1000.0,-4.0560899998373804e-10
1.165914401179831e-05,-48.22499999999987,1000.0,-4.0560899998373804e-10
1.165914401179831e-05,-40.74999999999987,1000.0,-4.0560899998373804e-10
1.165914401179831e-05,-34.99999999999987,1000.0,-4.0560899998373804e-10
1.165914401179831e-05,-29.999999999999872,1000.0,-4.0560899998373804e-10
1.165914401179831e-05,-24.999999999999872,1000.0,-4.0560899998373804e-10
1.165914401179831e-05,-19.999999999999872,1000.0,-4.0560899998373804e-10
1.165914401179831e-05,-14.999999999999872,1000.0,-4.0560899998373804e-10
1.165914401179831e-05,-9.999999999999872,1000.0,-4.0560899998373804e-10
1.165914401179831e-05,-4.999999999999872,1000.0,-4.0560899998373804e-10
1.359356390878527e-05,-996.8962827700731,500.0,-2.926588997527502e-10
1.359356390878527e-05,-770.4971405923638,500.0,-2.926588997527502e-10
1.359356390878527e-05,-596.3439543018183,500.0,-2.926588997527502e-10
1.359356390878527e-05,-462.3799648475525,500.0,-2.926588997527502e-10
1.359356390878527e-05,-359.330742190425,500.0,-2.926588997527502e-10
1.359356390878527e-05,-280.06210937724995,500.0,-2.926588997527502e-10
1.359356390878527e-05,-219.08623798249994,500.0,-2.926588997527502e-10
1.359356390878527e-05,-172.1817215249999,500.0,-2.926588997527502e-10
1.359356390878527e-05,-136.1013242499999,500.0,-2.926588997527502e-10
1.359356390878527e-05,-108.34717249999989,500.0,-2.926588997527502e-10
1.359356390878527e-05,-86.99782499999988,1000.0,-2.926588997527502e-10
1.359356390878527e-05,-70.57524999999987,1000.0,-2.926588997527502e-10
1.359356390878527e-05,-57.942499999999875,1000.0,-2.926588997527502e-10
1.359356390878527e-05,-48.22499999999987,1000.0,-2.926588997527502e-10
1.359356390878527e-05,-40.74999999999987,1000.0,-2.926588997527502e-10
1.359356390878527e-05,-34.99999999999987,1000.0,-2.926588997527502e-10
1.359356390878527e-05,-29.999999999999872,1000.0,-2.926588997527502e-10
1.359356390878527e-05,-24.999999999999872,1000.0,-2.926588997527502e-10
1.359356390878527e-05,-19.999999999999872,1000.0,-2.926588997527502e-10
1.359356390878527e-05,-14.999999999999872,1000.0,-2.926588997527502e-10
1.359356390878527e-05,-9.999999999999872,1000.0,-2.926588997527502e-10
1.359356390878527e-05,-4.999999999999872,1000.0,-2.926588997527502e-10
1.584893192461114e-05,-996.8962827700731,500.0,-2.1211303789510162e-10
1.584893192461114e-05,-770.4971405923638,500.0,-2.1211303789510162e-10
1.584893192461114e-05,-596.3439543018183,500.0,-2.1211303789510162e-10
1.584893192461114e-05,-462.3799648475525,500.0,-2.1211303789510162e-10
1.584893192461114e-05,-359.330742190425,500.0,-2.1211303789510162e-10
1.584893192461114e-05,-280.06210937724995,500.0,-2.1211303789510162e-10
1.584893192461114e-05,-219.08623798249994,500.0,-2.1211303789510162e-10
1.584893192461114e-05,-172.1817215249999,500.0,-2.1211303789510162e-10
1.584893192461114e-05,-136.1013242499999,500.0,-2.1211303789510162e-10
1.584893192461114e-05,-108.34717249999989,500.0,-2.1211303789510162e-10
1.584893192461114e-05,-86.99782499999988,1000.0,-2.1211303789510162e-10
1.584893192461114e-05,-70.57524999999987,1000.0,-2.1211303789510162e-10
1.584893192461114e-05,-57.942499999999875,1000.0,-2.1211303789510162e-10
1.584893192461114e-05,-48.22499999999987,1000.0,-2.1211303789510162e-10
1.584893192461114e-05,-40.74999999999987,1000.0,-2.1211303789510162e-10
1.584893192461114e-05,-34.99999999999987,1000.0,-2.1211303789510162e-10
1.584893192461114e-05,-29.999999999999872,1000.0,-2.1211303789510162e-10
1.584893192461114e-05,-24.999999999999872,1000.0,-2.1211303789510162e-10
1.584893192461114e-05,-19.999999999999872,1000.0,-2.1211303789510162e-10
1.584893192461114e-05,-14.999999999999872,1000.0,-2.1211303789510162e-10
1.584893192461114e-05,-9.999999999999872,1000.0,-2.1211303789510162e-10
1.584893192461114e-05,-4.999999999999872,1000.0,-2.1211303789510162e-10
1.8478497974222908e-05,-996.8962827700731,500.0,-1.5510287834778822e-10
1.8478497974222908e-05,-770.4971405923638,500.0,-1.5510287834778822e-10
1.8478497974222908e-05,-596.3439543018183,500.0,-1.5510287834778822e-10
1.8478497974222908e-05,-462.3799648475525,500.0,-1.5510287834778822e-10
1.8478497974222908e-05,-359.330742190425,500.0,-1.5510287834778822e-10
1.8478497974222908e-05,-280.06210937724995,500.0,-1.5510287834778822e-10
1.8478497974222908e-05,-219.08623798249994,500.0,-1.5510287834778822e-10
1.8478497974222908e-05,-172.1817215249999,500.0,-1.5510287834778822e-10
1.8478497974222908e-05,-136.1013242499999,500.0,-1.5510287834778822e-10
1.8478497974222908e-05,-108.34717249999989,500.0,-1.5510287834778822e-10
1.8478497974222908e-05,-86.99782499999988,1000.0,-1.5510287834778822e-10
1.8478497974222908e-05,-70.57524999999987,1000.0,-1.5510287834778822e-10
1.8478497974222908e-05,-57.942499999999875,1000.0,-1.5510287834778822e-10
1.8478497974222908e-05,-48.22499999999987,1000.0,-1.5510287834778822e-10
1.8478497974222908e-05,-40.74999999999987,1000.0,-1.5510287834778822e-10
1.8478497974222908e-05,-34.99999999999987,1000.0,-1.5510287834778822e-10
1.8478497974222908e-05,-29.999999999999872,1000.0,-1.5510287834778822e-10
1.8478497974222908e-05,-24.999999999999872,1000.0,-1.5510287834778822e-10
1.8478497974222908e-05,-19.999999999999872,1000.0,-1.5510287834778822e-10
1.8478497974222908e-05,-14.999999999999872,1000.0,-1.5510287834778822e-10
1.8478497974222908e-05,-9.999999999999872,1000.0,-1.5510287834778822e-10
1.8478497974222908e-05,-4.999999999999872,1000.0,-1.5510287834778822e-10
